"------- Please choose position -------","------- Please choose position -------"
"--------- Please choose style -------","--------- Please choose style -------"
"-- Please Select --","-- Please Select --"
"-------- Please select a slider --------","-------- Please select a slider --------"
"1 Domains","1 Domains"
"10 Domains","10 Domains"
"2 Domains","2 Domains"
"5 Domains","5 Domains"
"Action","Action"
"Add banner","Add banner"
"Add code below to a template file","Add code below to a template file"
"Add More","Add More"
"Add Slider","Add Slider"
"Alt Text","Alt Text"
"Animation Effect","Animation Effect"
"Are you sure?","Are you sure?"
"Attached Files","Attached Files"
"Banner Image","Banner Image"
"Banner information","Banner information"
"Banner Manager","Banner Manager"
"Banner of Slider","Banner of Slider"
"Banner was successfully saved","Banner was successfully saved"
"Banner(s) of Slider","Banner(s) of Slider"
"Below is an example to show a banner slider with your_bannerslider_id on the left of the category page.","Below is an example to show a banner slider with your_bannerslider_id on the left of the category page."
"Blue","Blue"
"Bottom-Left","Bottom-Left"
"Bottom-Middle","Bottom-Middle"
"Bottom-Right","Bottom-Right"
"Caption","Caption"
"Cart-Content-Top","Cart-Content-Top"
"Catalog and product","Catalog and product"
"Catalog-Content-Top","Catalog-Content-Top"
"Catalog-Menu-Bottom","Catalog-Menu-Bottom"
"Catalog-Menu-Top","Catalog-Menu-Top"
"Catalog-Page-Bottom","Catalog-Page-Bottom"
"Catalog-Sidebar-Bottom-Left","Catalog-Sidebar-Bottom-Left"
"Catalog-Sidebar-Bottom-Right","Catalog-Sidebar-Bottom-Right"
"Catalog-Sidebar-Top-Left","Catalog-Sidebar-Top-Left"
"Catalog-Sidebar-Top-Right","Catalog-Sidebar-Top-Right"
"Categories","Categories"
"Category only","Category only"
"Category-Content-Top","Category-Content-Top"
"Category-Menu-Bottom","Category-Menu-Bottom"
"Category-Menu-Top","Category-Menu-Top"
"Category-Page-Bottom","Category-Page-Bottom"
"Category-Sidebar-Bottom-Left","Category-Sidebar-Bottom-Left"
"Category-Sidebar-Bottom-Right","Category-Sidebar-Bottom-Right"
"Category-Sidebar-Top-Left","Category-Sidebar-Top-Left"
"Category-Sidebar-Top-Right","Category-Sidebar-Top-Right"
"Change status","Change status"
"Checkout-Content-Top","Checkout-Content-Top"
"Choose date to report","Choose date to report"
"Click Total","Click Total"
"Clicks & Impressions of a Banner in all Sliders","Clicks & Impressions of a Banner in all Sliders"
"'Clicks & Impressions of a Banner in each Slider","'Clicks & Impressions of a Banner in each Slider"
"Close","Close"
"Close","Close"
"Color","Color"
"Content-Top","Content-Top"
"Current Slider","Current Slider"
"Custom","Custom"
"Custom slider","Custom slider"
"Customer-Content-Top","Customer-Content-Top"
"Default for using in CMS page template","Default for using in CMS page template"
"Delete","Delete"
"Delete Banner","Delete Banner"
"Delete Slider","Delete Slider"
"Developer","Developer"
"Disabled","Disabled"
"Edit","Edit"
"Edit Banner '%s","Edit Banner '%s"
"Edit Slider '%s","Edit Slider '%s"
"Enabled","Enabled"
"End Date","End Date"
"FlexSlider 1","FlexSlider 1"
"FlexSlider 2","FlexSlider 2"
"FlexSlider 3","FlexSlider 3"
"FlexSlider 3","FlexSlider 3"
"FlexSlider 4","FlexSlider 4"
"From","From"
"From Admin","From Admin"
"General (will be disaplyed on all pages)","General (will be disaplyed on all pages)"
"Gray","Gray"
"Green","Green"
"Height","Height"
"Height(px)","Height(px)"
"Homepage-Content-Top","Homepage-Content-Top"
"ID","ID"
"Image","Image"
"Impression Total","Impression Total"
"Impressions","Impressions"
"Item does not exist","Item does not exist"
"Left-Middle","Left-Middle"
"List Slider","List Slider"
"Max Item","Max Item"
"Menu-Bottom","Menu-Bottom"
"Menu-Top","Menu-Top"
"Name","Name"
"New Window with Browser Navigation","New Window with Browser Navigation"
"New Window without Browser Navigation","New Window without Browser Navigation"
"No","No"
"Not Sent","Not Sent"
"Not sent to Magestore.com","Not sent to Magestore.com"
"Note display on all pages","Note display on all pages"
"Note displayed on all pages","Note displayed on all pages"
"Note\'s content","Note\'s content"
"on","on"
"Orange","Orange"
"Order","Order"
"Orderly","Orderly"
"Page-Bottom","Page-Bottom"
"Parent Window with Browser Navigation","Parent Window with Browser Navigation"
"Please copy and paste the code below on one of xml layout files where you want to show the banner. Please replace the your_bannerslider_ids variable with your own bannerslider Id","Please copy and paste the code below on one of xml layout files where you want to show the banner. Please replace the your_bannerslider_ids variable with your own bannerslider Id"
"Please select item(s)","Please select item(s)"
"Pop up on Home page","Pop up on Home page"
"Popular positions","Popular positions"
"Position","Position"
"Preview","Preview"
"Preview Slider Styles","Preview Slider Styles"
"Product-Content-Top","Product-Content-Top"
"Product-Menu-Bottom","Product-Menu-Bottom"
"Product-Menu-Top","Product-Menu-Top"
"Product-Page-Bottom","Product-Page-Bottom"
"Product-Sidebar-Bottom-Right","Product-Sidebar-Bottom-Right"
"Product-Sidebar-Top-Left","Product-Sidebar-Top-Left"
"Product-Sidebar-Top-Right","Product-Sidebar-Top-Right"
"Purchase now","Purchase now"
"Random","Random"
"Red","Red"
"Report","Report"
"Resend","Resend"
"Responsive Slider","Responsive Slider"
"Right-Middle","Right-Middle"
"Save","Save"
"Save Banner","Save Banner"
"Save Slider","Save Slider"
"Select available Slider Styles","Select available Slider Styles"
"Select Date","Select Date"
"Select Slider Mode","Select Slider Mode"
"Sent","Sent"
"Sent to","Sent to"
"Sent to Magestore.com","Sent to Magestore.com"
"Show Title","Show Title"
"Sidebar-Bottom-Left","Sidebar-Bottom-Left"
"Sidebar-Bottom-Right","Sidebar-Bottom-Right"
"Sidebar-Top-Left","Sidebar-Top-Left"
"Sidebar-Top-Right","Sidebar-Top-Right"
"Slider","Slider"
"Slider does not exist","Slider does not exist"
"Slider Evolution Caborno","Slider Evolution Caborno"
"Slider Evolution Default","Slider Evolution Default"
"Slider Evolution Fresh","Slider Evolution Fresh"
"Slider Evolution Minimalist","Slider Evolution Minimalist"
"Slider information","Slider information"
"Slider was successfully saved","Slider was successfully saved"
"Slider\'s Mode","Slider\'s Mode"
"Sort type","Sort type"
"Special Slider","Special Slider"
"Speed","Speed"
"Start date","Start date"
"Status","Status"
"STORE VIEW","STORE VIEW"
"Target","Target"
"Title","Title"
"Top-Left","Top-Left"
"Top-Middle","Top-Middle"
"Top-Right","Top-Right"
"Total of %d record(s) were successfully updated","Total of %d record(s) were successfully updated"
"Unable to find banner to save","Unable to find banner to save"
"Unable to find slider to save","Unable to find slider to save"
"Unlimited Domain","Unlimited Domain"
"Unresponsive Slider","Unresponsive Slider"
"Upgrade License to","Upgrade License to"
"Upgrade Now","Upgrade Now"
"URL","URL"
"Use Default","Use Default"
"version","version"
"View Price","View Price"
"Width","Width"
"Width(px)","Width(px)"
"Yellow","Yellow"
"Yes","Yes"
"You can put a banner slider on a cms page. Below is an example which we put a banner slider with bannerslider_id is your_bannerslider_id on a cms page","You can put a banner slider on a cms page. Below is an example which we put a banner slider with bannerslider_id is your_bannerslider_id on a cms page"
